video,poster,appcode,poster_width_px,poster_height_px,appcode_width_px,appcode_x_px,appcode_y_px,poster_width_meters,poster_height_meters,status,frames_processed,frames_tracked,frames_tracked_percent,notes
la iphone xs bag far.MOV,panera_bag_sticker.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv ipad bag near.MOV,panera_bag_sticker.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv ipad window near.MOV,panera_window_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la ipad window far.MOV,panera_window_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv iphone xs bag far.MOV,panera_bag_sticker.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la iphone 11 walk near.MOV,panera_sidewalk_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la iphone xs walk near.MOV,panera_sidewalk_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv iphone 11 walk near.MOV,panera_sidewalk_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la iphone 11 walk far.MOV,panera_sidewalk_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la iphone xs walk far.MOV,panera_sidewalk_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la_iphone 11_pole_near.MOV,panera_pole_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la_iphone xs_walk_far.MOV,panera_sidewalk_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv_iphone xs_pole_near.MOV,panera_pole_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv_ipad_walk_far.MOV,panera_sidewalk_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la_ipad_walk_far.MOV,panera_sidewalk_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la_iphone 11_walk_far.MOV,panera_sidewalk_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv_iphone 11_pole_far.MOV,panera_pole_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la_iphone xs_walk_near.MOV,panera_sidewalk_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv_iphone xs_walk_far.MOV,panera_sidewalk_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv_iphone 11_pole_near.MOV,panera_pole_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv iphone xs walk near.MOV,panera_sidewalk_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la_iphone xs_pole_far.MOV,panera_pole_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv_iphone xs_walk_near.MOV,panera_sidewalk_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv_iphone xs_pole_far.MOV,panera_pole_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv_ipad_pole_far.MOV,panera_pole_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv_ipad_pole_near.MOV,panera_pole_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la_iphone 11_pole_far.MOV,panera_pole_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv iphone xs window far.MOV,panera_window_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la_iphone xs_pole_near.MOV,panera_pole_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv_ipad_walk_near.MOV,panera_sidewalk_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv_iphone 11_walk_near.MOV,panera_sidewalk_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la_ipad_pole_far.MOV,panera_pole_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la_iphone 11_walk_near.MOV,panera_sidewalk_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la_ipad_pole_near.MOV,panera_pole_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la_ipad_walk_near.MOV,panera_sidewalk_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv_iphone 11_walk_far.MOV,panera_sidewalk_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv iphone 11 bag near.MOV,panera_bag_sticker.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
dv iphone 11 walk far.MOV,panera_sidewalk_sign.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la ipad bag far.MOV,panera_bag_sticker.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la ipad bag near.MOV,panera_bag_sticker.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la iphone 11 bag far.MOV,panera_bag_sticker.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
la iphone 11 bag near.MOV,panera_bag_sticker.png,,,,,,,,,error,,,,"FileNotFoundError(2, 'No such file or directory')"
swap_QA3.mov,b25_Generated__bubbly_image_12__r20__53.png,bubbly_image_12_cn_0,1202,1863,374,414,744,0.141,0.09,processed,1248,1248,100,
swap_QA4.mov,b25_Generated__bubbly_image_13__r20__55.png,bubbly_image_13_cn_0,1278,1986,398,440,794,0.115,0.18,processed,1387,1387,100,
swap_AL1.mov,b25_Generated__bubbly_image_14__r20__57.png,bubbly_image_14_cn_0,1922,2848,570,676,1139,0.128,0.201,error,1327,1327,100,Missing timestamps
swap_AL4.mov,b27_Generated__bubbly_image_17__r20__3.png,bubbly_image_17_cn_1,1988,2964,594,697,1185,0.141,0.09,processed,1259,1243,98,
dv_QA3.mov,b25_Generated__bubbly_image_20__r20__67.png,bubbly_image_20_cn_0,1202,1835,368,417,734,0.187,0.285,processed,1257,782,62,
dv_QA4.mov,b25_Generated__bubbly_image_20__r20__68.png,bubbly_image_20_nn_2,1202,1835,368,417,734,0.176,0.268,processed,1265,847,66,
dv_AL4.mov,b25_Generated__bubbly_image_23__r20__72.png,bubbly_image_23_nn_2,1202,1796,360,421,718,0.191,0.286,processed,1275,914,71,
dv_QA8.mov,b25_Generated__bubbly_image_25__r20__76.png,bubbly_image_25_nn_2,1202,1837,368,417,734,0.185,0.285,processed,1267,907,71,
bw_QA2.mov,b25_Generated__bubbly_image_29__r20__83.png,BW_nn_2,774,1302,260,257,521,0.169,0.285,processed,1241,1241,100,
bw_QA4.mov,b25_Generated__bubbly_image_31__r20__87.png,WB_nn_2,1085,1602,320,382,641,0.183,0.268,processed,1273,1273,100,
bw_QA7.mov,b25_Generated__bubbly_image_28__r20__82.png,BW_cn_1,726,1025,206,260,410,0.198,0.28,processed,1244,1244,100,
bw_QA8.mov,b27_Generated__bubbly_image_29__r20__6.png,BW_nn_3,774,1302,260,257,521,0.169,0.285,processed,1244,1244,100,
bw_QA12.mov,b25_Generated__bubbly_image_33__r20__92.png,BW_nn_3,1953,2972,594,680,1189,0.177,0.268,processed,1396,1396,100,
mk_AL3.mov,b25_Generated__market_algs3__r20__2.png,bubbly_image_54_cn_0,570,842,168,201,337,0.195,0.285,processed,1233,1233,100,
mk_AL4.mov,b25_Generated__market_algs4__r20__3.png,bubbly_image_54_cn_0,614,892,178,218,357,0.185,0.268,processed,1237,1237,100,
mk_AL8.mov,b25_Generated__market_algs8__r20__7.png,bubbly_image_54_cn_0,585,877,176,204,350,0.195,0.285,processed,1238,1238,100,
mk_AL9.mov,b25_Generated__market_algs9__r20__8.png,bubbly_image_54_cn_0,579,878,176,202,351,0.177,0.268,processed,1339,1339,100,
mk_QA3.mov,b25_Generated__market_qa3__r20__12.png,bubbly_image_54_cn_0,608,812,162,223,325,0.195,0.285,processed,1293,1293,100,
mk_QA4.mov,b25_Generated__market_qa4__r20__13.png,bubbly_image_54_cn_0,615,819,164,226,328,0.054,0.03,processed,1303,1303,100,
mk_QA5.mov,b25_Generated__market_qa5__r20__14.png,bubbly_image_54_cn_0,572,841,168,202,336,0.139,0.285,error,1228,356,28,Missing timestamps
mk_QA8.mov,b25_Generated__market_qa8__r20__17.png,bubbly_image_54_cn_0,579,876,176,202,350,0.195,0.285,processed,1272,1272,100,
mk_QA9.mov,b25_Generated__market_qa9__r20__18.png,bubbly_image_54_cn_0,585,876,176,204,350,0.18,0.268,processed,1331,1331,100,
sm_QA3.mov,b25_Generated__similar_3__r20__22.png,bubbly_image_54_cn_0,531,771,154,188,308,0.189,0.286,processed,1246,1246,100,
sm_QA4.mov,b25_Generated__similar_4__r20__23.png,bubbly_image_54_cn_0,520,757,152,184,302,0.185,0.268,processed,1322,1322,100,
sm_QA8.mov,b25_Generated__similar_8__r20__27.png,bubbly_image_54_cn_0,540,769,154,193,308,0.189,0.286,processed,1279,1279,100,
sm_QA9.mov,b25_Generated__similar_9__r20__28.png,bubbly_image_54_cn_0,515,758,152,182,303,0.183,0.268,processed,1341,1341,100,
sm_QA13.mov,b25_Generated__similar_13__r20__32.png,bubbly_image_54_cn_0,536,732,146,195,293,0.189,0.286,processed,1250,1250,100,
sm_QA14.mov,b25_Generated__similar_14__r20__33.png,bubbly_image_54_cn_0,519,754,152,184,301,0.185,0.268,processed,1326,1326,100,
